product_id,length_range,title,notes,amazon_url,rel,priority
lights-l_12_18-01,l_12_18,"NICREW C10 Plants LED Aquarium Light, 12-18 in, 9 Watts, Full Spectrum Fish Tank Light with Timer, Day and Night Cycle, Brightness Adjustable",,https://amzn.to/4mP0Sow,sponsored noopener noreferrer,1
lights-l_12_18-02,l_12_18,"hygger New Mode 24/7 Timer LED Aquarium Light, Auto On Off Full Spectrum Fish Tank Light Fish Colorful/Sun/Nightlight/WRGB Cycle Mode for Freshwater Plants Tank (for 12in~18in Long Tank)",,https://amzn.to/3VS4co0,sponsored noopener noreferrer,2
lights-l_12_18-03,l_12_18,"hygger Fish Aquarium LED Light, 14W 24/7 Lighting Sunrise-Daylight-Moonlight Mode DIY, Adjustable Timer/Brightness with Extendable Bracket 7 Colors for Planted Tank",,https://amzn.to/4h3wUvY,sponsored noopener noreferrer,2
lights-l_18_24-01,l_18_24,"NICREW C10 Plants LED Aquarium Light, 18-24 in, 13 Watts, Full Spectrum Fish Tank Light with Timer, Day and Night Cycle, Brightness Adjustable",,https://amzn.to/3WpCKxX,sponsored noopener noreferrer,1
lights-l_18_24-02,l_18_24,"hygger 14W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (18-24 inch)",,https://amzn.to/3VRUYIs,sponsored noopener noreferrer,2
lights-l_18_24-03,l_18_24,hygger Auto On Off LED Aquarium Light 18-24 Inches Dimmable 7 Colors Full Spectrum Fish Tank Light Fixture for Freshwater Planted Tank Built-in Timer Sunrise Sunset,,https://amzn.to/4gWRH45,sponsored noopener noreferrer,2
lights-l_24_36-01,l_24_36,"hygger 16W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (24-30 inch)",,https://amzn.to/42oWCVx,sponsored noopener noreferrer,1
lights-l_24_36-02,l_24_36,"AQQA Aquarium Light, Multi-Function Fish Tank LED Light 24/7 DIY Auto On Off + Night Mode + Day Mode + Full Spectrum + 7 Colors, Adjustable Brightness Waterproof with Timer for Freshwater 24W",,https://amzn.to/4gU5ZlU,sponsored noopener noreferrer,2
lights-l_24_36-03,l_24_36,"hygger Advanced Remote Control Aquarium Light Customizable Full Spectrum Fish Tank LED with DIY, Default & Weather Mode Freshwater Planted Tank",,https://amzn.to/4h3Ob8k,sponsored noopener noreferrer,2
lights-l_36_48-01,l_36_48,"hygger 20W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (30-36 inch)",,https://amzn.to/3Wo63Rt,sponsored noopener noreferrer,1
lights-l_36_48-02,l_36_48,"hygger 20W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (30-36 inch)",,https://amzn.to/4q2HWWo,sponsored noopener noreferrer,2
lights-l_36_48-03,l_36_48,"hygger Advanced Remote Control Aquarium Light Customizable Full Spectrum Fish Tank LED with DIY, Default & Weather Mode Freshwater Planted Tank",,https://amzn.to/46L2CZS,sponsored noopener noreferrer,2
lights-l_36_48-04,l_36_48,"hygger 36W 24/7 Lighting Aquarium LED Light, Sunrise-Daylight-Moonlight Mode and DIY Mode, Adjustable Timer Adjustable Brightness Fish Tank Light with Extendable Bracket 7 Colors for Planted Tank",,https://amzn.to/4nAAekl,sponsored noopener noreferrer,2
lights-l_36_48-05,l_36_48,"AQQA Aquarium Light, Multi-Function Fish Tank LED Light 24/7 DIY Auto On Off + Night Mode + Day Mode + Full Spectrum + 7 Colors, Adjustable Brightness Waterproof with Timer for Freshwater 36W",,https://amzn.to/4mS1bz0,sponsored noopener noreferrer,2
lights-l_36_48-06,l_36_48,"hygger Advanced Remote Control Aquarium Light Customizable Full Spectrum Fish Tank LED with DIY, Default & Weather Mode Freshwater Planted Tank",,https://amzn.to/3ISKOEg,sponsored noopener noreferrer,2
lights-l_48_55-01,l_48_55,"AQQA Aquarium Light, Multi-Function Fish Tank LED Light 24/7 DIY Auto On Off + Night Mode + Day Mode + Full Spectrum + 7 Colors, Adjustable Brightness Waterproof with Timer for Freshwater 44W",,https://amzn.to/3VVjRCW,sponsored noopener noreferrer,1
lights-l_48_55-02,l_48_55,"hygger Sun Moon LED Aquarium Light, Full Spectrum Fish Tank Light Day-Night Dual Timer, Adjustable 6 Timer 10 Brightness 8 Colors for Planted Freshwater Tank",,https://amzn.to/4gWbLUp,sponsored noopener noreferrer,2
lights-l_48_55-03,l_48_55,hygger Auto On Off 48-55 Inch LED Aquarium Light Extendable Dimmable 7 Colors Full Spectrum Light Fixture for Freshwater Planted Tank Built-in Timer Sunrise Sunset,,https://amzn.to/4h1IbwH,sponsored noopener noreferrer,2
